Comment,Designator,Footprint,LCSC
ZD25WQ80CTIGT,U3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C7525143 
100n,"C1,C2,C3,C5,C6,C7,C8,C9,C10,C16,C17",Capacitor_SMD:C_0402_1005Metric,C1525
4.7u,"C4,C11,C12,C13,C15",Capacitor_SMD:C_0805_2012Metric,C1779
10p,"C18,C19",Capacitor_SMD:C_0402_1005Metric,C32949
USB_C_Receptacle_USB2.0_16P,J2,Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369
RP2350_60QFN,U2,RP2350_60QFN_minimal:RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,C42411118 
Screw_Terminal_01x02,J3,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C8465
33,R1,Resistor_SMD:R_0402_1005Metric,C25105
LED,"D1,D2",LED_SMD:LED_0805_2012Metric,C84256
1k,"R4,R5,R6",Resistor_SMD:R_0402_1005Metric,C11702
5k1,"R2,R3",Resistor_SMD:R_0402_1005Metric,C25905
SW_Push,SW1,Button_Switch_SMD:SW_SPST_TS-1088-xR025,C720477
Display Connector,J1,Connector_PinSocket_2.54mm:PinSocket_2x08_P2.54mm_Vertical,C30734
3.3u,L1,Inductor_SMD:L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,C337916
TXM12M0004322CBCDO00T,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C362368
AMS1117-3.3,U1,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
ZX-XH2.54-10PWT,J8,Library:JST-XH-SMD-10Pin,C7429679
