Designator,Mid X,Mid Y,Layer,Rotation
C1,28.70,-35.50,T,0.00
C1,56.30,-30.50,T,180.00
C2,68.60,-31.10,T,315.00
C2,16.40,-34.90,T,135.00
C3,60.50,-23.10,T,180.00
C3,24.50,-42.90,T,0.00
C4,24.60,-27.10,T,0.00
C4,60.40,-38.90,T,180.00
C5,19.10,-42.80,T,225.00
C5,65.90,-23.20,T,45.00
C6,56.30,-26.00,T,180.00
C6,28.70,-40.00,T,0.00
C7,14.90,-37.00,T,135.00
C7,70.10,-29.00,T,315.00
C8,28.70,-33.90,T,0.00
C8,56.30,-32.10,T,180.00
C9,28.70,-36.50,T,0.00
C9,56.30,-29.50,T,180.00
C10,66.90,-36.40,T,315.00
C10,18.10,-29.60,T,135.00
C11,68.30,-35.40,T,315.00
C11,16.70,-30.60,T,135.00
C12,33.50,-32.15,T,270.00
C12,51.50,-33.85,T,90.00
C13,31.35,-32.15,T,270.00
C13,53.65,-33.85,T,90.00
C15,58.00,-17.90,T,270.00
C15,27.00,-48.10,T,90.00
C16,59.60,-17.60,T,270.00
C16,25.40,-48.40,T,90.00
C17,26.30,-22.30,T,270.00
C17,58.70,-43.70,T,90.00
C18,19.70,-45.30,T,90.00
C18,65.30,-20.70,T,270.00
C19,25.30,-45.30,T,270.00
C19,59.70,-20.70,T,90.00
D1,31.00,-42.70,T,90.00
D1,54.00,-23.30,T,270.00
D2,51.80,-23.30,T,270.00
D2,33.20,-42.70,T,90.00
J1,82.19,-45.88,B,180.00
J1,2.81,-20.12,B,0.00
J2,22.50,-55.50,T,0.00
J2,62.50,-10.50,T,180.00
J3,42.63,-10.46,T,270.00
J3,42.37,-55.55,T,90.00
J8,64.00,-53.50,T,0.00
J8,21.00,-12.50,T,180.00
L1,24.60,-29.50,T,0.00
L1,60.40,-36.50,T,180.00
R1,56.30,-33.10,T,180.00
R1,28.70,-32.90,T,0.00
R2,29.30,-56.90,T,0.00
R2,55.70,-9.10,T,180.00
R3,55.70,-10.30,T,180.00
R3,29.30,-55.70,T,0.00
R4,22.50,-42.90,T,0.00
R4,62.50,-23.10,T,180.00
R5,56.30,-25.00,T,180.00
R5,28.70,-41.00,T,0.00
R6,28.70,-42.00,T,0.00
R6,56.30,-24.00,T,180.00
SW1,81.50,-54.00,T,90.00
SW1,3.50,-12.00,T,270.00
U1,31.00,-25.50,T,90.00
U1,54.00,-40.50,T,270.00
U2,22.50,-36.50,T,0.00
U2,62.50,-29.50,T,180.00
U3,67.20,-42.38,T,180.00
U3,17.80,-23.62,T,0.00
Y1,22.50,-45.30,T,0.00
Y1,62.50,-20.70,T,180.00
